Sl_No,Full_Info,Transimission_Type,Ownership,Fuel_Used,brand_name,km_driven,selling_price,Year_of_Manuacture,Place_of_Origin,Age
3404,"""2020 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",7512,698499,2020,"""Noida""",2
3405,"""2019 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",26035,680799,2019,"""Noida""",3
3406,"""2020 Honda City""","""Automatic""","""1st Owner""","""Petrol""","""Honda-City""",29009,1280199,2020,"""Noida""",2
3407,"""2015 Honda Amaze""","""Manual""","""2nd Owner""","""Petrol""","""Honda-Amaze""",84848,407799,2015,"""Noida""",7
3408,"""2016 Hyundai Grand i10""","""Manual""","""3rd Owner""","""Petrol""","""Hyundai-Grand""",34900,419299,2016,"""Noida""",6
3409,"""2013 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",115007,313999,2013,"""Noida""",9
3410,"""2015 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",21925,406099,2015,"""Noida""",7
3411,"""2016 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",80447,432399,2016,"""Noida""",6
3412,"""2015 Hyundai Grand i10""","""Automatic""","""1st Owner""","""Petrol""","""Hyundai-Grand""",36612,446099,2015,"""Noida""",7
3413,"""2018 Hyundai Elite i20""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Elite""",30545,669299,2018,"""Noida""",4
3414,"""2020 Maruti Vitara Brezza""","""Automatic""","""1st Owner""","""Diesel""","""Maruti-Vitara""",18191,1104299,2020,"""Noida""",2
3415,"""2019 Renault Kwid""","""Manual""","""1st Owner""","""Petrol""","""Renault-Kwid""",35674,357499,2019,"""Noida""",3
3416,"""2020 Mahindra XUV500""","""Automatic""","""1st Owner""","""Diesel""","""Mahindra-XUV500""",19362,1741699,2020,"""Noida""",2
3417,"""2016 Maruti Alto K10""","""Automatic""","""1st Owner""","""Petrol""","""Maruti-Alto""",6519,355599,2016,"""Noida""",6
3418,"""2014 Mahindra XUV500""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-XUV500""",89117,616699,2014,"""Noida""",8
3419,"""2021 Toyota URBAN CRUISER""",,"""1st Owner""","""Petrol""","""Toyota-URBAN""",11828,925899,2021,"""Noida""",1
3420,"""2019 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",23941,989599,2019,"""Noida""",3
3421,"""2018 Maruti Dzire""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Dzire""",57061,620799,2018,"""Noida""",4
3422,"""2016 Hyundai Elite i20""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Elite""",61115,586199,2016,"""Noida""",6
3423,"""2011 Maruti Alto K10""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Alto""",26475,235499,2011,"""Noida""",11
3424,"""2017 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",36243,468899,2017,"""Noida""",5
3425,"""2016 Honda CRV""","""Automatic""","""2nd Owner""","""Petrol""","""Honda-CRV""",103602,1122199,2016,"""Noida""",6
3426,"""2019 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",69746,456799,2019,"""Noida""",3
